"","stimulus","translation_ru","stimulus_source","s_1","s_10","s_11","s_12","s_13","s_14","s_15","s_16","s_2","s_3","s_4","s_5","s_6","s_7","s_8","s_9"
"1","ala","крышка","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"2","ʁan","лепешка","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"3","antena","антенна","loan","r","r","r","r","r","r","r","r","b","r","r","r","b","r","b","r"
"4","anzi","снег","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"5","aptsʲeka","аптека","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"6","arkom","ложка","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"7","ʁats'a","кузнечик","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"8","awʔal","орех","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"9","awʔara","шапка","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"10","banan","банан","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"11","bank","банк","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"12","batarejka","батарейка","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"13","beʒun","игла","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"14","bil","гора","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"15","bilet","билет","loan","r","r","r","r","r","r","r","r","r","r","r","r","b","r","r","r"
"16","bint","бинт","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"17","dunɡil","яма","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"18","dʒinsɨ","джинсы","loan","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"19","ɬen","вода","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"20","ʔʷen, ʁʷen","рог","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"21","enʃːur","мука","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"22","esemeska","смска","loan","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"23","haq'u","комната","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"24","hark'u","глаз","native","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b","b"
"25","ħetʃ'ink'a","кукуруза","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
"26","hints'u","дверь","native","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r","r"
